admin_dong_code,sigungu_name,admin_dong_name,major_category,major_category_label,major_category_weight,category,category_label,category_score_0_100,triggered_indicator_count,triggered_indicators,policy_review_status,category_confidence
21020630,서구,초장동,environment_climate_response,환경·기후 대응,0.5,air_exposure,대기오염 노출,27.804878,0,,monitor,medium_low
21040530,영도구,남항동,environment_climate_response,환경·기후 대응,0.5,air_exposure,대기오염 노출,27.317073,0,,monitor,medium_low
21080560,북구,덕천1동,environment_climate_response,환경·기후 대응,0.5,air_exposure,대기오염 노출,26.829268,0,,monitor,medium_low
21080540,북구,금곡동,environment_climate_response,환경·기후 대응,0.5,air_exposure,대기오염 노출,26.341463,0,,monitor,low
21080570,북구,덕천2동,environment_climate_response,환경·기후 대응,0.5,air_exposure,대기오염 노출,25.853659,0,,monitor,medium_low
21070590,남구,용호3동,environment_climate_response,환경·기후 대응,0.5,air_exposure,대기오염 노출,25.365854,0,,monitor,medium_low
21080580,북구,덕천3동,environment_climate_response,환경·기후 대응,0.5,air_exposure,대기오염 노출,24.878049,0,,monitor,medium_low
21140600,수영구,민락동,environment_climate_response,환경·기후 대응,0.5,air_exposure,대기오염 노출,24.390244,0,,monitor,medium_low
21070570,남구,용호1동,environment_climate_response,환경·기후 대응,0.5,air_exposure,대기오염 노출,23.902439,0,,monitor,medium_low
21100640,사하구,구평동,environment_climate_response,환경·기후 대응,0.5,air_exposure,대기오염 노출,23.414634,0,,monitor,medium_low
21510110,기장군,기장읍,environment_climate_response,환경·기후 대응,0.5,air_exposure,대기오염 노출,22.926829,0,,monitor,medium_low
21030700,동구,좌천동,environment_climate_response,환경·기후 대응,0.5,air_exposure,대기오염 노출,22.439024,0,,monitor,medium_low
21050840,부산진구,범천2동,environment_climate_response,환경·기후 대응,0.5,air_exposure,대기오염 노출,21.95122,0,,monitor,medium_low
21100530,사하구,괴정3동,environment_climate_response,환경·기후 대응,0.5,air_exposure,대기오염 노출,21.463415,0,,monitor,medium_low
21070580,남구,용호2동,environment_climate_response,환경·기후 대응,0.5,air_exposure,대기오염 노출,20.97561,0,,monitor,medium_low
21080510,북구,구포1동,environment_climate_response,환경·기후 대응,0.5,air_exposure,대기오염 노출,20.487805,0,,monitor,medium_low
21070710,남구,우암동,environment_climate_response,환경·기후 대응,0.5,air_exposure,대기오염 노출,20.0,0,,monitor,medium_low
21020690,서구,남부민2동,environment_climate_response,환경·기후 대응,0.5,air_exposure,대기오염 노출,19.512195,0,,monitor,medium_low
21070630,남구,감만2동,environment_climate_response,환경·기후 대응,0.5,air_exposure,대기오염 노출,19.02439,0,,monitor,medium_low
21070610,남구,용당동,environment_climate_response,환경·기후 대응,0.5,air_exposure,대기오염 노출,18.536585,0,,monitor,medium_low
21110690,금정구,구서1동,environment_climate_response,환경·기후 대응,0.5,air_exposure,대기오염 노출,18.04878,0,,monitor,medium_low
21070550,남구,대연5동,environment_climate_response,환경·기후 대응,0.5,air_exposure,대기오염 노출,17.560976,0,,monitor,medium_low
21070700,남구,대연1동,environment_climate_response,환경·기후 대응,0.5,air_exposure,대기오염 노출,17.073171,0,,monitor,medium_low
21070540,남구,대연4동,environment_climate_response,환경·기후 대응,0.5,air_exposure,대기오염 노출,16.585366,0,,monitor,medium_low
21090720,해운대구,반송1동,environment_climate_response,환경·기후 대응,0.5,air_exposure,대기오염 노출,16.097561,0,,monitor,medium_low
21110700,금정구,구서2동,environment_climate_response,환경·기후 대응,0.5,air_exposure,대기오염 노출,15.609756,0,,monitor,medium_low
21510111,기장군,일광읍,environment_climate_response,환경·기후 대응,0.5,air_exposure,대기오염 노출,15.121951,0,,monitor,low
21040540,영도구,영선1동,environment_climate_response,환경·기후 대응,0.5,air_exposure,대기오염 노출,14.634146,0,,monitor,medium_low
21070660,남구,문현1동,environment_climate_response,환경·기후 대응,0.5,air_exposure,대기오염 노출,14.146341,0,,monitor,medium_low
21070600,남구,용호4동,environment_climate_response,환경·기후 대응,0.5,air_exposure,대기오염 노출,13.658537,0,,monitor,medium_low
21070560,남구,대연6동,environment_climate_response,환경·기후 대응,0.5,air_exposure,대기오염 노출,13.170732,0,,monitor,medium_low
21020680,서구,암남동,environment_climate_response,환경·기후 대응,0.5,air_exposure,대기오염 노출,12.682927,0,,monitor,medium_low
21090750,해운대구,우3동,environment_climate_response,환경·기후 대응,0.5,air_exposure,대기오염 노출,12.195122,0,,monitor,medium_low
21110670,금정구,청룡노포동,environment_climate_response,환경·기후 대응,0.5,air_exposure,대기오염 노출,11.707317,0,,monitor,medium_low
21510120,기장군,장안읍,environment_climate_response,환경·기후 대응,0.5,air_exposure,대기오염 노출,11.219512,0,,monitor,low
21090620,해운대구,반송2동,environment_climate_response,환경·기후 대응,0.5,air_exposure,대기오염 노출,10.731707,0,,monitor,medium_low
21110680,금정구,남산동,environment_climate_response,환경·기후 대응,0.5,air_exposure,대기오염 노출,10.243902,0,,monitor,medium_low
21510130,기장군,정관읍,environment_climate_response,환경·기후 대응,0.5,air_exposure,대기오염 노출,9.756098,0,,monitor,medium_low
21100660,사하구,감천2동,environment_climate_response,환경·기후 대응,0.5,air_exposure,대기오염 노출,9.268293,0,,monitor,medium_low
21510330,기장군,철마면,environment_climate_response,환경·기후 대응,0.5,air_exposure,대기오염 노출,8.780488,0,,monitor,low
